checkpoint,episode,total_timesteps,episode_reward,episode_length,outcome,min_range_m,final_time_s,legacy_episode_reward
1,1,5000,-57.37372970581055,1250,timeout,810.5309117332525,24.999999999999556,-56.09652769308611
1,2,5000,-44.68047332763672,1250,timeout,910.2228197810705,24.999999999999556,-89.1280860986185
1,3,5000,-58.91011428833008,1250,timeout,979.2950256285731,24.999999999999556,-73.82621891941315
1,4,5000,-47.643280029296875,1250,timeout,970.2577135394007,24.999999999999556,-64.90419699846895
1,5,10000,-74.60543060302734,1250,timeout,2792.0406686860474,24.999999999999556,-97.45605011859732
1,6,10000,-70.44490814208984,1250,timeout,1730.0497033155623,24.999999999999556,-82.71429058690535
1,7,10000,-76.77693176269531,1250,timeout,2566.830393732769,24.999999999999556,-88.45798408236557
1,8,10000,-70.48624420166016,1250,timeout,1965.2137386444501,24.999999999999556,-84.88723308742193
1,9,15000,-36.886878967285156,1250,timeout,600.041413334577,24.999999999999556,-80.58767931796575
1,10,15000,-53.03704071044922,1250,timeout,1035.8355730716735,24.999999999999556,-63.138691885499775
1,11,15000,-89.0535888671875,1250,timeout,2409.1603482138244,24.999999999999556,-78.63194518974385
1,12,15000,-74.56128692626953,1250,timeout,1913.3759006089474,24.999999999999556,-79.52012553938582
1,13,20000,-79.6520004272461,1250,timeout,2349.5215494867703,24.999999999999556,-70.39566413173694
1,14,20000,-79.94734191894531,1250,timeout,2557.2868812860224,24.999999999999556,-71.02371503862044
1,15,20000,-39.98663330078125,1250,timeout,731.2580262364902,24.999999999999556,-76.88388291411728
1,16,20000,-35.05061340332031,1250,timeout,637.9800788447893,24.999999999999556,-66.06547992012581
2,17,25480,-46.75930404663086,1250,timeout,805.4555503602693,24.999999999999556,-51.64875723887144
2,18,25480,-9.832136154174805,1250,timeout,230.4882583655137,24.999999999999556,-60.25600777049054
2,19,25480,14.95456314086914,1250,timeout,81.01813651008722,24.999999999999556,-75.85375631347777
2,20,25480,-58.283363342285156,1250,timeout,983.592685807147,24.999999999999556,-61.15187223784886
2,21,30480,-45.52674102783203,1250,timeout,883.4860730379432,24.999999999999556,-56.72104202272005
2,22,30480,-74.84413146972656,1250,timeout,1904.1242329688598,24.999999999999556,-60.477490717226075
2,23,30480,-70.75215148925781,1250,timeout,2478.4127117532803,24.999999999999556,-72.40808064311781
2,24,30480,-78.61734771728516,1250,timeout,2436.202339052502,24.999999999999556,-67.47902930368079
2,25,35480,-47.58417892456055,1250,timeout,935.5674811009835,24.999999999999556,-64.50064789778685
2,26,35480,-68.7746810913086,1250,timeout,964.6774341180015,24.999999999999556,-69.07084110070986
2,27,35480,-40.9394416809082,1250,timeout,623.8932388717905,24.999999999999556,-59.49220899533974
2,28,35480,-65.60814666748047,1250,timeout,1127.8888538865472,24.999999999999556,-55.42073863439396
2,29,40480,-75.12313079833984,1250,timeout,2282.6860879167416,24.999999999999556,-64.47285365815857
2,30,40480,-67.32810974121094,1250,timeout,1191.4863065382253,24.999999999999556,-60.77265612499577
2,31,40480,-16.406246185302734,1250,timeout,275.9553859586449,24.999999999999556,-52.65536477137799
2,32,40480,-45.491275787353516,1250,timeout,840.4228554567794,24.999999999999556,-64.36638435812438
