checkpoint,episode,total_timesteps,episode_reward,episode_length,outcome,min_range_m,final_time_s
1,1,5000,-53.181793212890625,1250,timeout,97.2215148685789,24.999999999999556
1,2,5000,-99.82083129882812,1250,timeout,1390.9203046792657,24.999999999999556
1,3,5000,-68.3233413696289,1250,timeout,953.5657531232648,24.999999999999556
1,4,5000,-69.99726867675781,1250,timeout,1205.5618445885189,24.999999999999556
1,5,10000,-96.6708755493164,1250,timeout,2096.047890796925,24.999999999999556
1,6,10000,-86.29948425292969,1250,timeout,1440.9615983113822,24.999999999999556
1,7,10000,-95.01377868652344,1250,timeout,2533.115969001857,24.999999999999556
1,8,10000,-81.8520278930664,1250,timeout,708.803666405727,24.999999999999556
1,9,15000,-90.63835144042969,1250,timeout,938.3835941782557,24.999999999999556
1,10,15000,-78.58878326416016,1250,timeout,1900.3493562532465,24.999999999999556
1,11,15000,-77.37327575683594,1250,timeout,2295.913706779526,24.999999999999556
1,12,15000,-81.58242797851562,1250,timeout,1536.8729213138233,24.999999999999556
1,13,20000,-76.721435546875,1250,timeout,2541.206476489537,24.999999999999556
1,14,20000,-89.85464477539062,1250,timeout,3776.7398145214706,24.999999999999556
1,15,20000,-92.72154998779297,1250,timeout,1828.4943765213202,24.999999999999556
1,16,20000,-97.69401550292969,1250,timeout,3101.0219865932454,24.999999999999556
2,17,25480,-73.97929382324219,1250,timeout,2325.611709747123,25.0
2,18,25480,-80.88189697265625,1250,timeout,2147.7059469657224,25.0
2,19,25480,-88.33035278320312,1250,timeout,1104.229307730482,25.0
2,20,25480,-78.92288970947266,1250,timeout,1900.6947911957316,25.0
2,21,30480,-75.2525634765625,1250,timeout,1687.0305585183858,25.0
2,22,30480,-63.18729782104492,1250,timeout,823.9673149425164,25.0
2,23,30480,-66.37711334228516,1250,timeout,253.58585318907132,25.0
2,24,30480,-73.59542083740234,1250,timeout,2665.078568356961,25.0
2,25,35480,-64.99424743652344,1250,timeout,687.1717908991195,25.0
2,26,35480,-89.22297668457031,1250,timeout,848.139539574353,25.0
2,27,35480,-73.0598373413086,1250,timeout,1608.8158077678108,25.0
2,28,35480,-71.72615814208984,1250,timeout,1714.7970820764,25.0
2,29,40320,-69.20690155029297,1210,miss,1060.1614507137876,24.2
2,30,40480,-65.78433227539062,1250,timeout,2078.630867896529,25.0
2,31,40480,-66.40682220458984,1250,timeout,1415.8289617904231,25.0
2,32,40480,-74.19303894042969,1250,timeout,1503.464721848117,25.0
